Date,Palestinian Deaths,Youngest Age,Oldest Age,month index,year index,date index
Feb-10,2,27,41,20,110,1140
Jan-10,8,18,27,10,110,1130
Dec-09,6,18,40,120,100,1120
Nov-09,1,15,15,110,100,1110
Oct-09,0,N/A,N/A,100,100,1100
Sep-09,9,12,43,90,100,1090
Aug-09,6,15,32,80,100,1080
Jul-09,2,16,22,70,100,1070
Jun-09,4,20,36,60,100,1060
May-09,6,18,47,50,100,1050
Apr-09,6,16,31,40,100,1040
Mar-09,9,15,27,30,100,1030
Feb-09,9,13,28,20,100,1020
Jan-09,978,1,85,10,100,1010
Dec-08,432,3,70,120,90,1000
Nov-08,15,18,38,110,90,990
Oct-08,4,17,70,100,90,980
Sep-08,3,14,22,90,90,970
Aug-08,0,N/A,N/A,80,90,960
Jul-08,8,10,48,70,90,950
Jun-08,30,8,65,60,90,940
May-08,40,11,66,50,90,930
Apr-08,72,1,53,40,90,920
Mar-08,151,1,71,30,90,910
Feb-08,79,1,57,20,90,900
Jan-08,89,7,66,10,90,890
Dec-07,61,17,40,120,80,880
Nov-07,31,14,49,110,80,870
Oct-07,36,14,69,100,80,860
Sep-07,34,15,38,90,80,850
Aug-07,47,8,69,80,80,840
Jul-07,27,15,49,70,80,830
Jun-07,40,9,47,60,80,820
May-07,62,14,63,50,80,810
Apr-07,16,17,44,40,80,800
Mar-07,10,15,24,30,80,790
Feb-07,12,16,52,20,80,780
Jan-07,10,10,36,10,80,770
Dec-06,14,14,32,120,70,760
Nov-06,134,1,84,110,70,750
Oct-06,61,64,3,100,70,740
Sep-06,32,14,41,90,70,730
Aug-06,74,1,70,80,70,720
Jul-06,180,1,75,70,70,710
Jun-06,43,1,48,60,70,700
May-06,37,6,48,50,70,690
Apr-06,31,6,46,40,70,680
Mar-06,15,7,30,30,70,670
Feb-06,31,15,38,20,70,660
Jan-06,13,8,46,10,70,650
Dec-05,20,15,37,120,60,640
Nov-05,15,12,36,110,60,630
Oct-05,22,15,55,100,60,620
Sep-05,17,13,37,90,60,610
Aug-05,11,16,52,80,60,600
Jul-05,25,15,36,70,60,590
Jun-05,5,17,30,60,60,580
May-05,10,14,38,50,60,570
Apr-05,5,32,15,40,60,560
Mar-05,1,26,26,30,60,550
Feb-05,9,14,43,20,60,540
Jan-05,50,9,67,10,60,530
Dec-04,61,6,36,120,50,520
Nov-04,42,12,45,110,50,510
Oct-04,145,7,63,100,50,500
Sep-04,112,10,65,90,50,490
Aug-04,39,9,70,80,50,480
Jul-04,0,N/A,N/A,70,50,470
Jun-04,59,3,72,60,50,460
May-04,113,4,44,50,50,450
Apr-04,55,12,60,40,50,440
Mar-04,79,6,68,30,50,430
Feb-04,54,11,47,20,50,420
Jan-04,27,10,44,10,50,410
Dec-03,48,6,55,120,40,400
Nov-03,30,10,41,110,40,390
Oct-03,58,1,62,100,40,380
Sep-03,29,9,80,90,40,370
Aug-03,26,8,74,80,40,360
Jul-03,4,3,31,70,40,350
Jun-03,59,1,59,60,40,340
May-03,61,1,57,50,40,330
Apr-03,59,13,56,40,40,320
Mar-03,85,4,84,30,40,310
Feb-03,69,8,62,20,40,300
Jan-03,60,8,45,10,40,290
Dec-02,72,11,94,120,30,280
Nov-02,46,2,40,110,30,270
Oct-02,66,2,70,100,30,260
Sep-02,51,1,52,90,30,250
Aug-02,53,6,75,80,30,240
Jul-02,43,1,69,70,30,230
Jun-02,57,6,62,60,30,220
May-02,48,3,55,50,30,210
Apr-02,246,3,85,40,30,200
Mar-02,237,4,70,30,30,190
Feb-02,85,7,65,20,30,180
Jan-02,28,15,45,10,30,170
Dec-01,67,10,53,120,20,160
Nov-01,39,6,57,110,20,150
Oct-01,89,10,60,100,20,140
Sep-01,59,10,70,90,20,130
Aug-01,37,10,63,80,20,120
Jul-01,32,1,51,70,20,110
Jun-01,13,9,65,60,20,100
May-01,46,1,54,50,20,90
Apr-01,23,10,49,40,20,80
Mar-01,27,9,43,30,20,70
Feb-01,20,14,60,20,20,60
Jan-01,19,15,70,10,20,50
Dec-00,51,11,70,120,10,40
Nov-00,112,13,47,110,10,30
Oct-00,104,12,60,100,10,20
Sep-00,16,11,45,90,10,10
